"Sample"	"Type"
"TP53"	"PUJANA_BRCA1_PCC_NETWORK"
"MYC"	"PUJANA_BRCA1_PCC_NETWORK"
"SMARCB1"	"PUJANA_BRCA1_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"HDAC1"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"SUZ12"	"PUJANA_BRCA1_PCC_NETWORK"
"BTK"	"PUJANA_BRCA1_PCC_NETWORK"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"TNF"	"PUJANA_BRCA1_PCC_NETWORK"
"YY1"	"PUJANA_BRCA1_PCC_NETWORK"
"PABPC1"	"PUJANA_BRCA1_PCC_NETWORK"
"PAX5"	"PUJANA_BRCA1_PCC_NETWORK"
"SPIB"	"PUJANA_BRCA1_PCC_NETWORK"
"SYK"	"PUJANA_BRCA1_PCC_NETWORK"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CD40"	"PUJANA_BRCA1_PCC_NETWORK"
"FAS"	"PUJANA_BRCA1_PCC_NETWORK"
"IRF4"	"PUJANA_BRCA1_PCC_NETWORK"
"BLNK"	"PUJANA_BRCA1_PCC_NETWORK"
"TNFRSF17"	"PUJANA_BRCA1_PCC_NETWORK"
"GRB2"	"PUJANA_BRCA1_PCC_NETWORK"
"GNA13"	"PUJANA_BRCA1_PCC_NETWORK"
"NRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"PLCG1"	"PUJANA_BRCA1_PCC_NETWORK"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CIITA"	"PUJANA_BRCA1_PCC_NETWORK"
"EP400"	"PUJANA_BRCA1_PCC_NETWORK"
"SOX2"	"PUJANA_BRCA1_PCC_NETWORK"
"PRKCA"	"PUJANA_BRCA1_PCC_NETWORK"
"KRAS"	"PUJANA_BRCA1_PCC_NETWORK"
"RNF2"	"PUJANA_BRCA1_PCC_NETWORK"
"LYN"	"NUCLEUS"
"BCL10"	"NUCLEUS"
"ERG"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"DUSP2"	"NUCLEUS"
"FBXO11"	"NUCLEUS"
"BCL6"	"NUCLEUS"
"STAT3"	"NUCLEUS"
"SNAI2"	"NUCLEUS"
"JAZF1"	"NUCLEUS"
"MALT1"	"NUCLEUS"
"NOTCH1"	"NUCLEUS"
"BMI1"	"NUCLEUS"
"BTG1"	"NUCLEUS"
"FGF10"	"NUCLEUS"
