"Sample"	"Type"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"ACTB"	"PUJANA_BRCA1_PCC_NETWORK"
"AKT1"	"BIOPOLYMER_METABOLIC_PROCESS"
"AKT1"	"BIOPOLYMER_METABOLIC_PROCESS"
"AR"	"NUCLEUS"
"AR"	"NUCLEUS"
"AXL"	"SIGNAL_TRANSDUCTION"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"B2M"	"PUJANA_ATM_PCC_NETWORK"
"BCL10"	"NUCLEUS"
"BCL6"	"NUCLEUS"
"BCL6"	"NUCLEUS"
"BCR"	"BIOPOLYMER_METABOLIC_PROCESS"
"BCR"	"BIOPOLYMER_METABOLIC_PROCESS"
"BFP"	"OTHER"
"BIRC2"	"SIGNAL_TRANSDUCTION"
"BLNK"	"PUJANA_BRCA1_PCC_NETWORK"
"BMI1"	"NUCLEUS"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"BRAF"	"PUJANA_BRCA1_PCC_NETWORK"
"BRD4"	"OTHER"
"BTG1"	"NUCLEUS"
"BTG1"	"NUCLEUS"
"BTG1"	"NUCLEUS"
"BTK"	"PUJANA_BRCA1_PCC_NETWORK"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CARD11"	"OTHER"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CASP7"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"CCND3"	"PUJANA_BRCA1_PCC_NETWORK"
"CD40"	"PUJANA_BRCA1_PCC_NETWORK"
"CD58"	"OTHER"
"CD58"	"OTHER"
"CD58"	"OTHER"
"CD58"	"OTHER"
"CD70"	"OTHER"
"CD70"	"OTHER"
"CD70"	"OTHER"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CD79B"	"PUJANA_BRCA1_PCC_NETWORK"
"CDC42"	"PROTEIN_METABOLIC_PROCESS"
"CDK8"	"NUCLEUS"
"CDK8"	"NUCLEUS"
"CIITA"	"PUJANA_BRCA1_PCC_NETWORK"
"CPS1"	"OTHER"
"CPS1"	"OTHER"
"CPS1"	"OTHER"
"CTNNB1"	"OTHER"
"DPY30"	"OTHER"
"DUSP2"	"NUCLEUS"
"DUSP2"	"NUCLEUS"
"EBF1"	"OTHER"
"EGFP"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGFR"	"NUCLEUS"
"EGR1"	"NUCLEUS"
"EMPTY"	"OTHER"
"EP400"	"PUJANA_BRCA1_PCC_NETWORK"
"ERBB2"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERBB2"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERBB2IP"	"NUCLEUS"
"ERBB3"	"BIOPOLYMER_METABOLIC_PROCESS"
"ERG"	"NUCLEUS"
"ERG"	"NUCLEUS"
"ERRFI1"	"OTHER"
"ERRFI1"	"OTHER"
"ESR1"	"SIGNAL_TRANSDUCTION"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"ETS1"	"PUJANA_ATM_PCC_NETWORK"
"ETV1"	"BIOPOLYMER_METABOLIC_PROCESS"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"ETV6"	"PUJANA_ATM_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"EZH2"	"PUJANA_BRCA1_PCC_NETWORK"
"FAM102A"	"OTHER"
"FAM102A"	"OTHER"
"FAM102A"	"OTHER"
"FAM102A"	"OTHER"
"FAM134C"	"OTHER"
"FAM134C"	"OTHER"
"FAM134C"	"OTHER"
"FAM5C"	"OTHER"
"FAS"	"PUJANA_BRCA1_PCC_NETWORK"
"FBXO11"	"NUCLEUS"
"FBXO11"	"NUCLEUS"
